code,name,nav_date,nav,acc_nav,day_change,week_change,month_change,three_month_change,six_month_change,year_change
025777,东方阿尔法瑞享混合发起A,2026-04-27,1.632,1.632,1.3,4.97,14.6,28.14,62.99,0.0
025778,东方阿尔法瑞享混合发起C,2026-04-27,1.6299,1.6299,1.29,4.97,14.57,28.05,62.79,0.0
008382,融通产业趋势股票,2026-04-27,1.9971,2.0521,0.59,4.56,38.0,43.32,61.64,200.18
200012,长城中小盘成长混合A,2026-04-27,3.6731,4.0507,-0.01,1.65,21.2,27.16,60.99,112.6
501201,红土创新科技创新股票(LOF)A,2026-04-27,2.3576,2.3576,0.68,4.2,23.99,40.14,60.83,149.46
015722,长城中小盘成长混合C,2026-04-27,4.3953,4.3953,-0.02,1.64,21.14,27.02,60.6,111.55
002272,新华科技创新主题灵活配置混合,2026-04-27,2.5198,2.5198,0.48,5.61,39.58,37.64,60.45,189.23
001437,易方达瑞享混合I,2026-04-27,10.3339,10.3339,0.93,0.66,31.83,48.52,60.45,283.58
001438,易方达瑞享混合E,2026-04-27,8.3594,8.3594,0.92,0.66,31.81,48.45,60.3,282.81
002692,富国创新科技混合A,2026-04-27,4.364,4.364,1.37,4.93,36.76,46.25,59.04,281.14
021642,富国资源精选混合发起式A,2026-04-27,1.965,1.965,1.63,3.82,12.53,26.46,58.67,115.46
011120,富国创新科技混合C,2026-04-27,4.227,4.227,1.37,4.91,36.66,46.01,58.55,278.76
008983,财通科技创新混合A,2026-04-27,1.8027,1.8027,0.91,3.06,35.99,49.23,58.48,103.03
020775,国寿安保产业升级股票发起式A,2026-04-27,2.1155,2.1155,2.13,4.25,19.13,22.92,58.32,123.55
005903,宏利绩优混合A,2026-04-27,3.9788,4.2198,0.47,4.0,33.13,44.21,58.3,211.53
022167,富国资源精选混合发起式C,2026-04-27,1.9482,1.9482,1.62,3.81,12.48,26.31,58.29,114.16
008326,东财通信A,2026-04-27,4.123,4.123,1.13,4.48,30.93,40.45,58.27,249.64
008327,东财通信C,2026-04-27,4.0588,4.0588,1.13,4.47,30.9,40.37,58.07,248.78
015576,宏利绩优混合C,2026-04-27,3.9182,4.1592,0.46,3.99,33.09,44.07,57.99,210.3
020774,国寿安保产业升级股票发起式C,2026-04-27,2.0945,2.0945,2.13,4.24,19.08,22.77,57.92,122.46
008984,财通科技创新混合C,2026-04-27,1.7211,1.7211,0.9,3.05,35.92,48.95,57.87,101.42
168401,红土精选混合(LOF)A,2026-04-27,5.946,5.946,0.66,4.29,23.91,38.1,57.77,200.15
001170,宏利复兴混合A,2026-04-27,4.016,4.016,0.43,4.01,32.63,42.82,57.74,218.23
001753,红土创新新兴产业混合A,2026-04-27,4.256,4.256,-0.02,4.49,29.87,43.06,57.69,280.0
017612,宏利复兴混合C,2026-04-27,3.977,3.977,0.4,4.0,32.61,42.7,57.5,217.4
000390,华商优势行业混合A,2026-04-27,2.776,5.391,0.04,1.5,27.34,41.7,57.34,203.17
025348,华商优势行业混合C,2026-04-27,2.767,3.0,0.04,1.47,27.28,41.46,56.86,0.0
016370,信澳业绩驱动混合A,2026-04-27,2.607,2.607,0.12,1.27,30.45,41.39,55.58,326.89
002376,国寿安保核心产业混合,2026-04-27,1.504,1.905,1.97,4.3,20.32,20.61,55.53,123.48
016664,天弘全球高端制造混合(QDII)A,2026-04-24,2.7312,2.7312,0.62,4.76,25.53,34.48,55.14,155.28
016371,信澳业绩驱动混合C,2026-04-27,2.5499,2.5499,0.12,1.26,30.38,41.19,55.11,324.35
002891,华夏移动互联混合人民币,2026-04-24,2.461,2.461,3.4,3.45,25.88,37.49,54.97,106.81
018210,红土创新景气回报混合A,2026-04-27,1.5985,1.5985,0.82,3.77,22.57,37.85,54.92,0.0
016665,天弘全球高端制造混合(QDII)C,2026-04-24,2.7068,2.7068,0.62,4.76,25.5,34.37,54.89,154.42
018211,红土创新景气回报混合C,2026-04-27,1.5946,1.5946,0.82,3.77,22.54,37.73,54.62,0.0
013250,红土创新智能制造混合型发起式A,2026-04-27,1.5227,1.5227,0.79,3.81,23.0,37.71,54.37,143.91
021957,红土创新智能制造混合型发起式C,2026-04-27,1.4814,1.4814,0.79,3.8,22.96,37.6,54.09,142.93
162201,宏利成长混合,2026-04-27,6.1317,8.5282,0.42,4.07,32.39,40.08,53.64,231.53
009023,鹏华稳健回报混合A,2026-04-27,2.7945,2.7945,0.16,5.82,27.6,14.03,52.88,150.61
004666,长城久嘉创新成长混合A,2026-04-27,3.3578,3.3578,0.61,-5.13,13.08,-1.42,52.67,103.95
017511,鹏华稳健回报混合C,2026-04-27,2.3539,2.3539,0.17,5.82,27.56,13.92,52.58,149.62
011111,华泰柏瑞行业严选混合A,2026-04-27,1.3867,1.3867,-0.25,3.93,28.1,40.03,52.47,138.72
019829,华夏数字产业混合A,2026-04-27,3.7076,3.7076,0.59,4.25,33.1,40.8,52.41,237.3
010052,长城久嘉创新成长混合C,2026-04-27,2.8045,3.0537,0.61,-5.14,13.03,-1.54,52.29,102.92
011112,华泰柏瑞行业严选混合C,2026-04-27,1.3468,1.3468,-0.25,3.92,28.03,39.83,52.03,137.32
019830,华夏数字产业混合C,2026-04-27,3.652,3.652,0.58,4.23,33.03,40.6,51.95,235.23
005682,财通资管消费精选混合A,2026-04-27,3.0,3.0,2.09,5.34,27.86,21.78,51.94,123.85
011020,财通资管消费精选混合C,2026-04-27,1.4408,1.4408,2.09,5.34,27.86,21.76,51.89,123.62
024473,信澳优势行业混合A,2026-04-27,2.049,2.049,0.71,1.68,36.69,25.15,51.88,0.0
024889,信澳优势行业混合C,2026-04-27,2.0429,2.0429,0.71,1.67,36.64,25.02,51.58,0.0
008555,华商龙头优势混合,2026-04-27,2.3149,2.3149,1.09,2.59,23.74,31.15,51.0,224.26
016632,华泰柏瑞行业优选6个月持有期混合A,2026-04-27,1.7823,1.7823,-0.16,4.08,27.51,38.37,50.38,133.01
006976,鹏华核心优势混合A,2026-04-27,4.2009,4.2009,1.29,4.07,26.3,30.85,50.21,125.27
016653,华泰柏瑞行业优选6个月持有期混合C,2026-04-27,1.7579,1.7579,-0.16,4.07,27.47,38.23,50.08,132.07
005328,前海开源价值策略股票,2026-04-27,1.2766,1.2766,-0.45,-1.34,5.36,14.64,49.96,98.01
001184,易方达新常态灵活配置混合,2026-04-27,1.673,1.673,1.64,4.04,29.09,35.47,49.91,221.73
017732,鹏华核心优势混合C,2026-04-27,1.8918,1.8918,1.28,4.05,26.24,30.65,49.76,123.91
519158,新华趋势领航混合,2026-04-27,5.0079,6.2633,0.38,1.25,22.43,21.86,49.51,171.81
200015,长城优化升级混合A,2026-04-27,7.0471,7.1621,-0.63,1.2,10.17,19.05,49.49,96.28
457001,国富亚洲机会股票(QDII)A,2026-04-24,2.5698,2.7368,2.83,7.16,25.98,26.79,49.48,125.84
009234,鹏华优质企业混合A,2026-04-27,1.4412,1.4412,-0.04,0.73,4.81,8.3,49.35,81.95
013383,恒生前海高端制造混合A,2026-04-27,1.5007,1.5007,1.96,3.02,28.23,26.78,49.22,137.15
009855,中加新兴成长混合A,2026-04-27,2.9163,2.9163,1.29,2.39,25.53,36.09,49.2,202.61
021662,国富亚洲机会股票(QDII)C,2026-04-24,2.5364,2.5364,2.83,7.14,25.94,26.59,49.1,124.76
001741,广发百发大数据精选混合A,2026-04-27,1.858,1.914,1.75,2.09,18.87,2.26,49.08,100.57
001742,广发百发大数据精选混合E,2026-04-27,1.85,1.906,1.76,2.04,18.82,2.21,49.03,99.74
013274,长城优化升级混合C,2026-04-27,6.8502,6.8502,-0.63,1.18,10.11,18.91,49.0,95.06
001613,长城久祥混合A,2026-04-27,2.4379,2.4379,0.3,0.99,28.64,42.99,48.95,163.56
013384,恒生前海高端制造混合C,2026-04-27,1.4777,1.4777,1.95,3.01,28.18,26.66,48.92,136.21
019205,鹏华优质企业混合C,2026-04-27,1.5475,1.5475,-0.05,0.72,4.77,8.14,48.91,80.78
009856,中加新兴成长混合C,2026-04-27,2.8485,2.8485,1.27,2.36,25.47,35.93,48.88,201.36
016272,华泰保兴吉年红混合发起A,2026-04-27,1.3922,1.644,0.14,-0.08,8.83,0.84,48.83,67.58
001856,易方达环保主题混合A,2026-04-27,7.029,7.029,0.63,4.12,18.33,26.06,48.79,131.45
012545,富荣福银混合A,2026-04-27,1.4495,1.4495,2.64,5.27,28.87,32.84,48.7,68.8
000166,中海信息产业混合A,2026-04-27,2.0413,2.9138,2.37,2.9,21.59,12.48,48.64,110.64
016273,华泰保兴吉年红混合发起C,2026-04-27,1.3896,1.6346,0.14,-0.08,8.8,0.75,48.55,66.93
017462,长城久祥混合C,2026-04-27,2.3908,2.3908,0.29,0.98,28.58,42.8,48.53,162.01
161606,融通行业景气混合A,2026-04-27,3.079,5.049,-0.36,3.11,33.46,32.09,48.5,127.06
019032,易方达环保主题混合C,2026-04-27,6.945,6.945,0.62,4.11,18.27,25.91,48.43,130.27
740001,长安宏观策略混合A,2026-04-27,3.522,4.342,0.54,4.67,33.46,46.63,48.42,229.78
012546,富荣福银混合C,2026-04-27,1.4217,1.4217,2.63,5.26,28.82,32.71,48.4,68.11
018848,中海信息产业混合C,2026-04-27,2.0239,2.0239,2.36,2.89,21.55,12.38,48.35,109.8
009277,融通行业景气混合C,2026-04-27,2.989,3.019,-0.37,3.14,33.44,31.96,48.16,125.92
016579,长安宏观策略混合C,2026-04-27,3.459,3.459,0.55,4.66,33.4,46.44,48.07,228.18
018287,信澳优势产业混合A,2026-04-27,3.328,3.328,0.64,1.41,35.86,24.25,48.02,182.54
024433,嘉实成长共赢混合A,2026-04-27,2.1833,2.1833,1.49,4.5,28.38,34.09,47.95,0.0
519087,新华优选分红混合A,2026-04-27,1.2317,5.4112,0.48,1.13,20.74,21.46,47.8,163.17
013721,信澳景气优选混合A,2026-04-27,2.4091,2.4091,0.7,1.51,36.29,24.57,47.75,179.06
018288,信澳优势产业混合C,2026-04-27,3.2698,3.2698,0.64,1.4,35.78,24.07,47.57,180.81
008009,华商高端装备制造股票A,2026-04-27,5.4733,5.4733,1.14,2.34,14.2,26.72,47.57,175.86
025416,新华优选分红混合C,2026-04-27,1.3044,1.4297,0.47,1.12,20.7,21.34,47.53,0.0
024434,嘉实成长共赢混合C,2026-04-27,2.1728,2.1728,1.49,4.49,28.31,33.88,47.49,0.0
001040,新华策略精选股票A,2026-04-27,3.1699,3.6079,0.44,1.3,21.36,20.85,47.44,166.62
012920,易方达全球成长精选混合(QDII)人民币A,2026-04-24,3.5521,3.5521,1.37,3.5,21.46,33.68,47.43,166.59
006502,财通集成电路产业股票A,2026-04-27,5.6947,5.6947,2.19,3.48,32.77,35.41,47.32,254.24
001480,财通成长优选混合A,2026-04-27,5.709,5.709,2.18,3.22,32.18,34.87,47.29,262.25
019374,广发睿杰精选混合发起式A1,2026-04-27,1.7591,1.814,-0.09,0.47,15.52,-0.16,47.29,87.29
009242,中加核心智造混合A,2026-04-27,3.1965,3.2565,-0.27,1.47,25.08,39.77,47.17,186.58
013722,信澳景气优选混合C,2026-04-27,2.3269,2.3269,0.69,1.5,36.2,24.33,47.16,176.81
025415,新华策略精选股票C,2026-04-27,3.1635,3.1635,0.44,1.29,21.32,20.73,47.15,0.0
016372,信澳匠心严选一年持有混合A,2026-04-27,2.1377,2.1377,0.65,1.4,35.7,23.63,47.09,176.4
016050,华商高端装备制造股票C,2026-04-27,5.3458,5.3458,1.14,2.33,14.14,26.48,47.08,174.1
012922,易方达全球成长精选混合(QDII)人民币C,2026-04-24,3.487,3.487,1.37,3.49,21.41,33.51,47.05,165.31
001607,英大策略优选A,2026-04-27,3.8689,4.0489,0.75,4.01,30.08,31.46,47.02,108.6
021528,财通成长优选混合C,2026-04-27,3.277,3.277,2.18,3.21,32.14,34.75,47.02,260.51
017490,财通景气甄选一年持有期混合A,2026-04-27,3.6208,3.6208,2.22,3.5,32.25,35.8,46.95,248.22
539002,建信新兴市场混合(QDII)A,2026-04-24,2.058,2.058,2.03,4.89,19.65,34.69,46.9,139.02
009243,中加核心智造混合C,2026-04-27,3.12,3.18,-0.27,1.46,25.03,39.64,46.87,185.4
014915,财通匠心优选一年持有混合A,2026-04-27,2.2443,2.2443,2.2,3.63,32.92,36.54,46.85,247.68
000354,长盛城镇化主题混合A,2026-04-27,4.2767,4.9247,0.81,2.18,34.56,38.22,46.82,174.66
001608,英大策略优选C,2026-04-27,3.6177,3.7977,0.75,4.0,30.04,31.33,46.74,107.78
006503,财通集成电路产业股票C,2026-04-27,5.3676,5.3676,2.19,3.46,32.69,35.15,46.74,251.42
016373,信澳匠心严选一年持有混合C,2026-04-27,2.0916,2.0916,0.65,1.4,35.64,23.45,46.66,174.78
018147,建信新兴市场混合(QDII)C,2026-04-24,2.028,2.028,2.06,4.91,19.65,34.57,46.64,138.03
014191,广发先进制造股票发起式A,2026-04-27,2.2567,2.2567,0.86,1.53,23.4,17.79,46.51,166.28
018933,长盛城镇化主题混合C,2026-04-27,4.2068,4.2068,0.8,2.17,34.49,38.02,46.39,173.01
017491,财通景气甄选一年持有期混合C,2026-04-27,3.5418,3.5418,2.21,3.48,32.17,35.53,46.36,245.44
014916,财通匠心优选一年持有混合C,2026-04-27,2.1727,2.1727,2.2,3.61,32.82,36.27,46.27,244.93
014192,广发先进制造股票发起式C,2026-04-27,2.2209,2.2209,0.85,1.52,23.37,17.68,46.22,165.37
024592,圆信永丰科技驱动混合发起A,2026-04-27,2.1881,2.1881,2.2,3.66,33.1,38.61,46.15,0.0
024593,圆信永丰科技驱动混合发起C,2026-04-27,2.1852,2.1852,2.2,3.66,33.09,38.58,46.08,0.0
006969,圆信永丰高端制造A,2026-04-27,3.5075,3.5075,2.05,2.98,13.51,14.53,45.96,108.56
025395,圆信永丰高端制造C,2026-04-27,3.5055,3.5055,2.04,2.98,13.5,14.51,45.89,0.0
001156,申万菱信新能源汽车主题灵活配置混合A,2026-04-27,3.316,4.306,1.94,5.17,16.31,40.63,45.69,120.33
017102,大摩数字经济混合A,2026-04-27,3.5668,3.5668,1.52,3.28,31.08,32.07,45.66,178.83
013469,泰信低碳经济混合发起式A,2026-04-27,1.5045,1.5045,0.47,2.9,33.31,34.98,45.63,153.71
001279,中海积极增利混合,2026-04-27,3.011,3.011,2.73,2.59,21.07,8.19,45.46,76.18
530019,建信社会责任混合A,2026-04-27,4.397,4.907,2.57,3.07,23.34,19.65,45.45,125.95
017737,融通慧心混合A,2026-04-27,2.3152,2.3152,-0.4,3.21,25.5,29.49,45.38,149.75
022739,申万菱信新能源汽车主题灵活配置混合C,2026-04-27,3.267,3.289,1.93,5.15,16.26,40.46,45.36,119.44
013470,泰信低碳经济混合发起式C,2026-04-27,1.4719,1.4719,0.46,2.89,33.25,34.81,45.27,152.43
017103,大摩数字经济混合C,2026-04-27,3.5003,3.5003,1.52,3.27,31.02,31.88,45.22,177.16
021541,建信社会责任混合C,2026-04-27,4.361,4.361,2.56,3.07,23.3,19.51,45.17,125.03
017738,融通慧心混合C,2026-04-27,2.2788,2.2788,-0.4,3.21,25.46,29.33,45.01,148.48
010622,恒越成长精选混合A,2026-04-27,1.2768,1.2768,1.57,3.86,24.88,18.16,44.78,172.59
020469,长城半导体混合发起式A,2026-04-27,2.9782,2.9782,4.47,8.2,23.31,11.93,44.63,112.38
410006,华富策略精选混合A,2026-04-27,2.5788,2.7388,1.86,5.97,12.8,21.57,44.61,110.41
010490,鹏华高质量增长混合A,2026-04-27,1.6327,1.6327,0.49,5.66,24.72,8.98,44.61,129.09
010623,恒越成长精选混合C,2026-04-27,1.257,1.257,1.57,3.86,24.85,18.06,44.57,171.78
001075,宝盈转型动力混合A,2026-04-27,3.5401,3.5401,0.8,3.51,28.31,30.4,44.41,243.43
019235,华富策略精选混合C,2026-04-27,2.5401,2.5401,1.85,5.96,12.75,21.4,44.19,109.18
020470,长城半导体混合发起式C,2026-04-27,2.9394,2.9394,4.46,8.18,23.24,11.77,44.18,111.06
006373,国富全球科技互联混合(QDII)人民币A,2026-04-24,6.1853,6.1853,4.05,4.27,20.18,23.86,44.07,91.99
015389,宝盈转型动力混合C,2026-04-27,3.4709,3.4709,0.8,3.51,28.26,30.25,44.06,241.72
006769,长城研究精选混合A,2026-04-27,2.0343,2.0343,0.76,1.08,9.42,14.77,43.87,82.66
010491,鹏华高质量增长混合C,2026-04-27,1.5613,1.5613,0.48,5.64,24.63,8.77,43.87,127.0
519644,银河智联混合A,2026-04-27,4.885,4.885,-0.08,4.85,32.42,17.4,43.85,88.39
000411,景顺长城优质成长股票A,2026-04-27,4.047,4.6,1.45,1.84,25.06,27.34,43.82,180.65
021842,国富全球科技互联混合(QDII)人民币C,2026-04-24,6.1451,6.1451,4.05,4.26,20.13,23.73,43.78,91.05
021500,景顺长城优质成长股票C,2026-04-27,4.018,4.018,1.44,1.82,25.02,27.23,43.55,179.42
013296,民生加银聚优精选混合A,2026-04-27,1.1527,1.1527,4.03,5.07,23.42,20.24,43.46,89.06
018956,中航机遇领航混合发起A,2026-04-27,4.6781,4.6781,0.2,-2.36,25.66,30.93,43.45,308.71
017761,银河智联混合C,2026-04-27,4.792,4.792,-0.08,4.83,32.34,17.22,43.43,87.26
014538,长城研究精选混合C,2026-04-27,1.9727,1.9727,0.76,1.07,9.36,14.57,43.41,81.53
000612,华宝生态中国混合A,2026-04-27,5.882,6.082,-0.81,0.2,5.91,15.22,43.32,79.71
001416,嘉实事件驱动股票,2026-04-27,1.405,1.405,1.08,2.33,27.26,26.01,43.22,109.08
001118,华宝事件驱动混合A,2026-04-27,1.316,1.316,-0.9,0.3,6.21,15.64,43.2,75.23
025331,民生加银聚优精选混合C,2026-04-27,1.15,1.15,4.03,5.07,23.39,20.13,43.18,0.0
009891,融通产业趋势臻选股票A,2026-04-27,2.9774,2.9774,0.32,3.91,33.43,29.82,43.15,158.41
018957,中航机遇领航混合发起C,2026-04-27,4.6017,4.6017,0.2,-2.37,25.6,30.74,43.02,306.26
720001,财通价值动量混合A,2026-04-27,11.342,11.813,1.41,2.07,27.58,29.39,42.92,239.07
016462,华宝生态中国混合C,2026-04-27,5.756,5.756,-0.81,0.19,5.87,15.07,42.9,78.65
011446,长江新能源产业混合发起A,2026-04-27,2.2279,2.2279,0.56,1.18,11.42,14.01,42.83,118.42
003659,山证资管策略精选混合A,2026-04-27,2.531,2.531,0.64,-0.42,25.25,36.7,42.74,119.08
018495,融通产业趋势臻选股票C,2026-04-27,2.8898,2.8898,0.32,3.89,33.36,29.64,42.73,156.89
017995,华宝事件驱动混合C,2026-04-27,1.304,1.304,-0.99,0.23,6.1,15.4,42.67,74.1
021523,财通价值动量混合C,2026-04-27,2.949,2.949,1.41,2.08,27.55,29.29,42.67,237.8
024194,永赢国证商用卫星通信产业ETF发起联接A,2026-04-27,1.6907,1.6907,0.84,-3.21,13.36,-8.11,42.6,0.0
011447,长江新能源产业混合发起C,2026-04-27,2.1838,2.1838,0.56,1.18,11.38,13.9,42.55,117.57
350007,天治趋势精选混合,2026-04-27,1.5249,1.9569,1.51,3.33,25.02,22.31,42.51,138.45
610006,信澳产业升级混合A,2026-04-27,3.367,3.837,-0.03,-1.61,22.84,24.8,42.49,159.0
024195,永赢国证商用卫星通信产业ETF发起联接C,2026-04-27,1.6875,1.6875,0.84,-3.21,13.34,-8.17,42.43,0.0
014267,华商竞争力优选混合A,2026-04-27,1.5231,1.5231,1.28,2.24,7.79,16.3,42.19,91.78
024207,信澳产业升级混合C,2026-04-27,3.351,3.351,-0.03,-1.61,22.75,24.57,42.05,0.0
570008,诺德周期策略混合,2026-04-27,5.958,6.853,0.64,2.2,30.92,32.99,41.89,150.02
013886,华商新能源汽车混合A,2026-04-27,0.7916,0.7916,1.1,1.68,6.47,17.71,41.81,96.52
014268,华商竞争力优选混合C,2026-04-27,1.485,1.485,1.28,2.23,7.74,16.13,41.78,90.63
016605,财通资管臻享成长混合A,2026-04-27,1.8308,1.8308,1.42,5.42,24.43,12.09,41.78,110.82
012703,华夏核心成长混合A,2026-04-27,1.0961,1.0961,1.41,4.72,16.24,29.07,41.72,76.7
001664,平安鑫安混合A,2026-04-27,2.8626,2.8626,-1.91,-0.13,10.85,15.59,41.56,127.75
016606,财通资管臻享成长混合C,2026-04-27,1.808,1.808,1.42,5.42,24.41,11.99,41.52,110.01
013887,华商新能源汽车混合C,2026-04-27,0.7776,0.7776,1.09,1.67,6.43,17.6,41.51,95.72
007049,平安鑫安混合E,2026-04-27,2.8007,2.8007,-1.91,-0.13,10.84,15.56,41.49,127.53
001105,信澳转型创新股票A,2026-04-27,2.08,2.08,2.11,4.63,28.79,26.37,41.3,136.9
001665,平安鑫安混合C,2026-04-27,2.7465,2.7465,-1.91,-0.13,10.81,15.49,41.3,126.85
012710,华夏核心成长混合C,2026-04-27,1.0629,1.0629,1.4,4.71,16.18,28.87,41.25,75.48
014611,富国核心科技12个月持有混合A,2026-04-27,2.5478,2.5478,1.27,4.61,25.97,33.43,41.09,172.81
001412,德邦鑫星价值灵活配置混合A,2026-04-27,5.1369,5.2749,0.67,-0.21,26.42,31.39,41.04,284.44
004321,前海开源沪港深强国产业混合,2026-04-27,1.7289,1.7289,0.38,-5.06,10.48,-9.41,41.02,79.68
001521,国寿安保成长优选股票A,2026-04-27,2.19,2.596,2.24,5.44,23.94,23.45,41.02,111.39
015608,信澳转型创新股票C,2026-04-27,2.033,2.033,2.16,4.63,28.75,26.27,40.98,135.57
002112,德邦鑫星价值灵活配置混合C,2026-04-27,4.9353,5.0833,0.67,-0.21,26.41,31.35,40.97,284.07
002707,大摩科技领先混合A,2026-04-27,2.9461,2.9461,1.24,4.72,17.41,8.57,40.89,93.43
001956,国联安科技动力,2026-04-27,3.5412,3.5412,0.9,2.49,32.52,33.92,40.88,192.52
021875,路博迈资源精选股票发起A,2026-04-27,2.2727,2.2727,0.18,-0.23,11.37,5.47,40.88,150.79
005698,华夏全球科技先锋混合(QDII)A(人民币),2026-04-24,3.0441,3.0441,1.45,4.26,23.42,33.6,40.78,94.05
017916,国寿安保成长优选股票C,2026-04-27,1.452,1.452,2.18,5.37,23.79,23.26,40.7,110.43
014612,富国核心科技12个月持有混合C,2026-04-27,2.4833,2.4833,1.26,4.6,25.9,33.22,40.66,171.16
016105,申万菱信兴乐优选混合A,2026-04-27,1.6949,1.6949,2.19,4.66,22.05,28.88,40.64,71.91
001816,汇添富新睿精选混合A,2026-04-27,1.703,2.077,-0.18,-0.53,12.71,10.44,40.63,95.97
014871,大摩科技领先混合C,2026-04-27,2.899,2.899,1.24,4.71,17.37,8.46,40.61,92.66
540010,汇丰晋信科技先锋股票,2026-04-27,4.9406,4.9406,1.33,-0.73,19.96,22.01,40.47,172.0
021876,路博迈资源精选股票发起C,2026-04-27,2.2458,2.2458,0.18,-0.24,11.32,5.32,40.41,149.2
002164,汇添富新睿精选混合C,2026-04-27,1.665,2.039,-0.18,-0.54,12.65,10.26,40.39,95.19
002482,宝盈互联网沪港深混合,2026-04-27,4.611,4.611,-0.17,-2.91,17.36,0.04,40.28,128.15
040001,华安创新混合,2026-04-27,1.544,7.175,0.52,1.45,18.04,23.32,40.24,69.86
016106,申万菱信兴乐优选混合C,2026-04-27,1.6578,1.6578,2.18,4.65,21.99,28.68,40.22,70.87
024239,华夏全球科技先锋混合(QDII)C,2026-04-24,3.0123,3.0123,1.44,4.25,23.36,33.23,40.19,0.0
016772,诺德兴新趋势混合A,2026-04-27,1.6721,1.6721,1.12,3.33,25.18,28.59,40.07,153.0
018375,金信景气优选混合A,2026-04-27,1.7977,1.7977,0.56,-3.25,17.61,4.98,40.05,65.23
020899,天弘中证全指通信设备指数发起A,2026-04-27,3.4283,3.4283,0.97,1.29,25.86,26.84,40.03,231.27
